name,city,total_reviews,review_content,overall_rating,food_rating,service_rating,ambience_rating,date
FoodMallard,Seattle,19 reviews,We rolled in for Valentine’s Day and they had the entire place decked with valentines adornments. The greeters were friendly. The hostess accommodative the servers eager to please and the chicken parm was outstanding and served piping hot.We had a lovely experience and would got back again.,4,5,5,5,Dined on February 13 2022
EddieZ,Indiana,27 reviews,Staff was very accommodating to my diabetic needs.  I've been going to this place for decades.  Still great but not as good as it once was.  The old italian waiters are replaced with young spanish guys and it just isn't the same.,4,4,3,4,Dined on February 13 2022
LaurenK,New York City,2 reviews,Went for lunch restaurant week. It was amazing! Will try the chicken parm next time instead of the rigatoni vodka,5,4,5,5,Dined on February 12 2022
Matt,New York City,10 reviews,Excellent all around,5,5,5,5,Dined on February 12 2022
OpenTable Diner,New York City,2 reviews,Awesome food great service. Highly recommended.,5,5,5,5,Dined on February 7 2022
AnnieS,New York City,16 reviews,Authentic quality food in large portions and expertly prepared. The restaurant has a unique vibe with exposed bricks and large open space different from many other Little Italy spots. Cocktails are delicious and wine selection great too. Service is friendly and attentive highly recommend this establishment to both visitors and New Yorkers.,5,5,5,5,Dined on February 6 2022
KimberlyD,Coastal Georgia,1 review,Ordered to our hotel.  Arrived hot and delicious,5,5,5,5,Dined on February 6 2022
ROBERTG,New York City,82 reviews,Always a great meal.  Great service.,5,5,5,5,Dined on February 5 2022
Smiley,New York City,18 reviews,Great ambiance and very attentive staff. Good food we would definitely go back!,5,5,5,5,Dined on February 3 2022
JoeG,New York City,20 reviews,Best restaurant on Mulberry St Little Italy! Come here all the time its always outstanding. Artichoke pie as an app and Sunday Ragu sauce can't get it better anywhere!,5,5,5,5,Dined on January 31 2022
OpenTable Diner,New York City,1 review,Birthday celebration,5,5,5,5,Dined on January 30 2022
OpenTable Diner,Los Angeles,1 review,Pasta was amazing. Penne Vodka and Sunday Gravy best I’ve ever had,5,5,5,5,Dined on January 30 2022
LouisR,New York City,1 review,Amazing place  great food quick service and attentive,5,5,5,5,Dined on January 30 2022
CalebS,Louisville,12 reviews,Fantastic place to go have real Italian food. Was recommended by a friend and it did not disappoint! Will definitely make plans when back in the city.,5,5,5,5,Dined on January 30 2022
OpenTable Diner,New York City,1 review,Great experience better food!,5,5,5,5,Dined on January 23 2022
GracieM,New Mexico,5 reviews,I loved the service. The host was very accommodating and polite. Servers were amazing,5,4,5,5,Dined on January 23 2022
MichaelD,Raleigh,1 review,Great food and atomosphere.  Service was terrific.,5,5,5,5,Dined on January 22 2022
ChristinaH,Nashville,3 reviews,Food was bleh,3,1,3,3,Dined on January 15 2022
CMK1,Fort Lauderdale,7 reviews,Husband’s birthday,5,5,5,5,Dined on January 9 2022
JolieA,New York City,1 review,First time we have been there in 25 years! It is like time never moved service great food great. Ambience the same! We will go back often!,5,5,5,5,Dined on January 9 2022
OpenTable Diner,New York City,4 reviews,Engagement celebration! The service was excellent and we had a wonderful evening.,5,5,5,5,Dined on January 4 2022
OpenTable Diner,New York City,7 reviews,The service was unbelievable as was the food and ambiance! Thank you for a beautiful New Year’s Eve experience!,5,5,5,5,Dined on January 1 2022
Golfcrew4,New York City,27 reviews,Always happy with the food and service here. A stable when I am in lower manhattan .,5,5,5,5,Dined on December 31 2021
Stacey,New York City,8 reviews,What a delicious meal with my family!!!!,5,5,5,5,Dined on December 30 2021
OpenTable Diner,New York City,2 reviews,Fabulous!!!,5,5,5,5,Dined on December 28 2021
OpenTable Diner,New York City,4 reviews,We have Christmas dinner with our family at Il Cortile every year. Once again this year the food ambience and service were outstanding. Our favorite place to eat in Little Italy!,5,5,5,5,Dined on December 26 2021
OpenTable Diner,Chicago,2 reviews,Absolute amazing dining experience!,5,5,5,5,Dined on December 25 2021
JackP,Jacksonville,1 review,Waited an hour after reservation time for a table—felt like they were working us for cocktails.  Host was rude and not very friendly or accommodating.,3,4,3,3,Dined on December 25 2021
OpenTable Diner,New York City,1 review,Over priced Italian food and authentic to an Italian pallet.,1,1,4,5,Dined on December 24 2021
SusanD,Dallas,24 reviews,The portion sizes were good the food was good and the service was fantastic.  I’m docking points because they sat us in a back room that looked like a Furs cafeteria and where they send the families with small children so the other guests aren’t annoyed.  There were seats available in the pretty area of the restaurant and I think we would have liked it a lot more if we had been there.  It was our last meal out in NYC and it was slightly disappointing.  But we did have great service.,4,4,5,3,Dined on December 24 2021
OpenTable Diner,San Francisco,3 reviews,With Angelo’s sadly having closed down the street  my family and I were looking for a new Italian restaurant on Mulberry Street for a holiday dinner.   Il Cortile was fabulous.  Our server Angelo was impeccable and we could not have received a better overall experience.  The food was delicious and so was the ambiance. For those who are missing Angelo’s  Il Cortile is a great alternative.,5,5,5,5,Dined on December 23 2021
OpenTable Diner,Las Vegas,1 review,This was my wife and I’s 4th trip to NYC and every time we have tried a new spot in Little Italy. This was HANDS DOWN the best one thus far. I recommend getting there by 6 for dinner because it fills up quick but the noise level stayed quiet. We had a two top table next to a couple others but it wasn’t bad. We ordered a pitcher of the red sangria and split a Caesar salad to start. The house dressing was amazing and so were the sangrias. Our entrees were DIVINE. The pasta…SO FRESH….the sauce..IMPECCABLE. Don’t get me started on the house breadsticks either. Crunchy and delicious. Our server was fantastic and so were all of the back waiters. I am a fan of THE SOPRANOS as well and the whole ambiance was on point. Don’t miss this place in Little Italy. Just don’t. We don’t see this kind of charm in any restaurants where we live.,5,5,5,5,Dined on December 22 2021
camilo,New York City,1 review,Muy buena comida y atención … un excelente restaurante,5,5,5,5,Dined on December 22 2021
OpenTable Diner,New York City,3 reviews,Food is pretty mediocre and we are being kind.  There are much better Italian options than this.,2,1,3,3,Dined on December 20 2021
OpenTable Diner,London,1 review,Last minute booking and so glad we did. Best meal of our trip to NYC. Was a bit worried it would be tourist low quality high price type of place. How wrong we was. Service was fab and the pasta was great. Will be back,5,4,5,5,Dined on December 19 2021
SilvesterC,New York City,27 reviews,Service was terrible.  It seemed like there were not enough waiters. I had to wave down waiters and even bus boys. Deserts limited but delicious. Try the coconut gelato for something sweet delicious and very light. Long lines getting in even with reservation. Food was Excellent.,3,4,3,3,Dined on December 19 2021
AnaO,Orlando,1 review,Exquisite food! Excellent place and customer service.,5,5,5,5,Dined on December 18 2021
WolfNJ,New York City,20 reviews,I've been coming to Il Cortile in December for nearly 10 years.  It's been a favorite.  This year it fell way short.  In fairness I would assume that the resturant is being impacted by the Covid situation.  However  the resturant was completely full last Friday when we arrived.  I had made our reservation over a month in advance and requested a specific location in the courtyard I called earlier in the day and was told that they would do everything they coud to oblige.  Upon arrivlal I was told that the owner had reserved the entire area and we coud sit outside.  The service was a huge drop off from the past  The food  quality /presentation was a shodow of the past and the portion sizes have shrunk.  Overall disapointing .  I entertain a group of intenational associates every December and Friday night is saved for Il Cortile.  We won't be back next year.,2,2,3,2,Dined on December 18 2021
OpenTable Diner,New York City,1 review,Wonderful visit and meal in Little Italy.,5,5,5,5,Dined on December 18 2021
OpenTable Diner,Phoenix,1 review,Exceeding expectations.,5,5,5,5,Dined on December 16 2021
OpenTable Diner,Philadelphia,4 reviews,Delicious food great ambience and the service was friendly and extremely attentive. I will definitely be dining here often for dates and special occasions.,5,5,5,5,Dined on December 15 2021
DoreenJ,New York City,25 reviews,Great food small portions on appetizers though,5,5,5,5,Dined on December 15 2021
DPom,New York City,19 reviews,We love this place. The food is amazing and the service is fantastic.,5,5,5,5,Dined on December 13 2021
RachaelG,Sacramento,1 review,Food was spectacular and portions are large so be prepared to leave full or with leftovers. The espresso and chocolate martinis are to die for would come back with a bigger party.,5,5,5,5,Dined on December 12 2021
OpenTable Diner,Greater Boston,1 review,Had a reservation at 8 didn’t get seated till 9 the restaurant cared more about the larger parties sitting them first even when their reservation was at 8:30 claimed to be over booked and we were sat in a section with an engagement party that was screaming and shouting to the point when I asked for the manager he apologized for the noise before even saying hello,2,3,4,2,Dined on December 12 2021
OpenTable Diner,Greater Boston,7 reviews,Amazing dinner with family and friends. Highly recommend.,5,5,5,5,Dined on December 9 2021
jenever110,New York City,12 reviews,Always great food and service.,5,5,5,5,Dined on December 9 2021
billt,London,20 reviews,Great service.. great ambiance.. great food,5,5,5,5,Dined on December 9 2021
OpenTable Diner,New York City,2 reviews,We went over the summer and loved it! Came back this winter with some more family and the whole experience was meh. The food was OK service was terrible. There are better Italian restaurants nearby…,3,3,1,4,Dined on December 6 2021
Gilreign,Greater Boston,47 reviews,Wonderful meal!  Gathered with family and friends for a holiday get-together.  We were seated in the festively decorated sky-lit courtyard. Each of our cocktails was carefully prepared and our staff was attentive without rushing or hovering.  Our only disappointment with the meal was our decision to order antipasto.  While visually stunning and delicious they were not designed to be shared.  For nearly the price of an entree ($18) it contained a meager amount of food a slice of prosciutto 2 of salami a spoonful of roasted red peppers and mushrooms.  The mushrooms were especially tasty.  Our main meals did not disappoint.  We ordered a variety of dishes both red and white sauces and everyone was satisfied with their choices.  The sausage is especially flavorful and chicken parmesan is my husband's favorite.  Our top choice for Italian in New York City!,5,5,5,5,Dined on December 6 2021
RonK,Naples,126 reviews,Great dining experience in the Center of  Little Italy. Outstanding Italian cuisine. As an added treat ask to be seated in the Courtyard.,5,5,5,5,Dined on December 5 2021
TrishR,Washington DC,1 review,Amazing food! Frank our server was so wonderful and was very attentive and funny! My second visit to IL Corte and I recommend this to anyone looking for the best service and Italian food in Little Italy!,5,5,5,5,Dined on December 4 2021
AmberW,Miami,6 reviews,Great choice for dinner with family will for sure come back,5,5,5,5,Dined on November 26 2021
OpenTable Diner,Orlando,1 review,Thanksgiving dinner,5,5,5,5,Dined on November 26 2021
TimZ,New Orleans,1 review,Nice atmosphere. Missing background music. Were charged 22 for a plate of spaghetti with butter for a child but other than that food very good.,4,4,4,4,Dined on November 25 2021
dvlg,Seattle,3 reviews,wonderful meal,4,5,4,5,Dined on November 25 2021
MargieC,New York City,9 reviews,The food was excellent and the service was top notch!,5,5,5,5,Dined on November 23 2021
Meandher,West Palm Beach,24 reviews,Overall a disappointment. Food is now very average.,3,2,4,3,Dined on November 20 2021
celeste,Dallas,9 reviews,Probably the worst calamari I have ever eaten. The bread wasn’t fresh. The butter wasn’t fresh. The ravioli was good not great. We were not pleased and were really disappointed we had chosen this spot for our anniversary. The ambiance was pretty but food wise we had better food in many places in NYC.,1,1,2,4,Dined on November 19 2021
healthy,New York City,37 reviews,Great experience. The pasta was perfectly prepared the wait staff attentive and the prices were fair for portion size and Little Italy ambiance.,5,5,5,5,Dined on November 16 2021
Tinman28,Philadelphia,14 reviews,Everything was very nice .. just felt a little rushed we weren’t done having our salad when the hot appetizers came out… after speaking to waiter he slowed down the main course… rest of meal was perfect,4,4,4,3,Dined on November 14 2021
OpenTable Diner,New York City,8 reviews,The waiter gave us the wrong dish I noticed that it was not what I ordered and he was upset when I asked for my right entree.  He simply wanted us to move the plates instead and after putting our utensils in the food we would change the plates as if the Covid no longer exists.  Very bad service and bad attitude of the waiter.,1,1,1,1,Dined on November 14 2021
ThomasM,Louisville,14 reviews,Excellent genuine Italian meal!  Awesome experience,5,5,5,5,Dined on November 13 2021
PDC0007,New York City,3 reviews,Our meal was fantastic ! Eggplant appetizer was amazing. Chicken Parm - best I ever had ( that includes Rome  Milan and Venice) ! Pasta was perfect.,5,5,5,5,Dined on November 11 2021
DominickP,New York City,3 reviews,Have been eating here 26+ years it's one of our fav Italian restaurants in Little Italy.Sit in the courtyard and always have a hot antipasto...,4,4,4,3,Dined on November 9 2021
OpenTable Diner,Milwaukee,2 reviews,Excellent drinks and food!,5,5,5,5,Dined on November 9 2021
Nisey,Tampa,8 reviews,Visiting from Tampa we had a delicious meal at my favorite restaurant in Little Italy. The food was so good! All four entrees were tasty and plentiful. The service by Angelo and the staff was excellent and our special requests were honored making it an enjoyable evening. We love the ambiance of the courtyard room! Thanks for a wonderful experience!,5,5,5,5,Dined on November 8 2021
Returnee,New York City,22 reviews,Very accommodating. Excellent food and service. always love going to il cortile,5,5,5,5,Dined on November 7 2021
OpenTable Diner,New York City,4 reviews,We arrived very late on our reservation on a Saturday night but were still seated.  The menu and specials were as always on point.  The wine list is expansive and reasonably priced. The wait staff is top notch. A great dining old world style Italian restaurant in the heart of NY’s Little Italy.,5,5,5,5,Dined on November 6 2021
KathleenM,London,4 reviews,The staff is phenomenal and the food was incredible! Thank you for making our night,5,5,5,5,Dined on November 6 2021
Jimc,Columbus,35 reviews,Great meal and service.,5,5,5,5,Dined on November 6 2021
OpenTable Diner,Palm Springs,6 reviews,Been eating here for 45 years. Never disappointed. Best calamari ever.,5,5,5,5,Dined on November 4 2021
jojo,Cleveland,16 reviews,This is my favorite Italian restaurant in all of New York City. The food is always delicious the service is always friendly and top-notch and the outdoor dining is lovely. We make it a point to go there every time we're in the City.,5,5,5,5,Dined on November 1 2021
OpenTable Diner,New York City,8 reviews,I told them in advance that it was my mom’s birthday to see if they could do something special for her and they said yes when I arrived I reminded them a couple of times and they never did anything. In addition to this the waiter spoke fluent Spanish but refused to speak in Spanish to my mom so I had to interpret all night.,2,4,2,3,Dined on October 31 2021
JasonS,New York City,6 reviews,Always a lovely place with great staff,5,5,5,5,Dined on October 31 2021
charlieo,New York City,48 reviews,"The view from the ""garden"" of the building next to it was a bit underwhelming.  The service was rushed.  The wait staff staging area was immediately in front of our table the amount of people the noise and the rushing around the area all contributed to a very rushed and noisy situation.  I had mussels as a main course they were very over-cooked however the white wine sauce they were cooked in was very good.  Of my two companions 1 had a chicken dish 1 a veal - both looked exactly alike and were poorly plated.   There was no feeling of comfort or a meal enjoyed or sense of a great evening.",2,2,2,1,Dined on October 24 2021
OpenTable Diner,Dallas,4 reviews,Awesome food and service,5,5,5,5,Dined on October 24 2021
TylorG,Tampa,1 review,Absolutely fabulous in every way! One of the best italian restaurants in Little Italy!,5,5,5,5,Dined on October 23 2021
Richd,Philadelphia,2 reviews,Gone are the days of IL Cortile.  What was once my favorite Italian restaurant in little Italy/ NYC it has clearly degraded.  The food was sub par at best.  Coming from the Philadelphia area there are far better choices by staying home.,1,1,2,3,Dined on October 23 2021
OpenTable Diner,Chicago,2 reviews,Had a great birthday dinner at il cortile. They were able to accommodate our large group and the food was excellent!,5,5,5,5,Dined on October 23 2021
OpenTable Diner,Chicago,4 reviews,Disappointed. I was there for my daughters birthday. No one even acknowledged it nor did they offer drinks or to take our order for at least 20 mins after we sat down.,3,3,2,2,Dined on October 23 2021
LittleSaint,Los Angeles,43 reviews,Fabulous service and food.  First time there and will go back.,5,5,5,5,Dined on October 18 2021
Jackgaff,Coastal Georgia,4 reviews,Family Birthday gathering,5,5,5,5,Dined on October 16 2021
NYCFrequenter,Miami,17 reviews,Ok food nothing really special about it.  It is similiar to all the restuarants on Mulberry Street.,3,2,2,2,Dined on October 16 2021
BillL,Las Vegas,61 reviews,Beautiful atmosphere to celebrate a birthday in the atrium.  Great service and amazing food!,5,5,5,5,Dined on October 16 2021
DominickA,New York City,1 review,Felt like we were being rushed out.  Spent a lot  of money a d waiter said I would have to move my table somewhere else. We were still buying drinks I wanted another cappuccino but we were basically asked to move. Did not think it was great business.,4,4,3,4,Dined on October 16 2021
KaylaG,New York City,1 review,I had a party of 17 for my birthday and all the wait staff at Il Cortile were so friendly and attentive. My boss sent cupcakes to the restaurant prior and they worked with her to setup dessert. They were very accommodating for 17 people which is hard to come by in NYC where large groups have to do pre fixe. The ambience is stellar - the back garden is gorgeous with the lighting and decor. I highly recommend!! Thank you to Il Cortile for making my birthday so special.,5,5,5,5,Dined on October 15 2021
Tedcooper,Charleston,24 reviews,Professional courteous and fun,5,5,5,5,Dined on October 9 2021
OpenTable Diner,New York City,1 review,Restaurant was busy extremely loud with large parties. Food was mediocre after waiting over 1.5 hours for entrees. Our waiter went MIA! He finally came to our table and said food was coming shortly. Another half hour passed. The floor manager came by asking if we had been served we said we had not. Surprised he went back to the kitchen and food finally arrived. It was fair not great by any means. The manager offered to buy us a drink to make amends but after being there for 2 hours we were done! His explanation was that they were backed up in the kitchen. This is just another Little Italy mediocre restaurant. After a recommendation from our hotel conceierge I let him know of our experience.,2,3,1,1,Dined on October 3 2021
ElizabethG,New York City,10 reviews,Great good and beautiful restaurant- totally felt safe and didn’t have people on top of us Would definitely go back !!!,5,5,5,5,Dined on October 3 2021
Dani,New York City,1 review,Went here Sunday night with high expectations. Made a reservation and was placed right by the server station which wasn’t a huge deal but less than ideal being that I went mainly for the back garden. We ordered the fried mozzarella to start and it looked and tasted like they threw cheese in between two pieces of white semi fried bread. I got the Sunday special and was very disappointed plus not to mention the hostess was less than friendly. I tried to give this restaurant the benefit of the doubt being that they were prob overwhelmed with San Gennaro but sadly I would not go back. The only good thing we had that night was the plentiful sangria,1,1,1,3,Dined on September 27 2021
oneski9000,West Palm Beach,11 reviews,Excellent food and service as always.  We live in NJ but try to make to to Il Cortille once a year but it has been 2-3 years due to COVID.  Glad to be back!,5,5,5,4,Dined on September 27 2021
OpenTable Diner,New York City,2 reviews,Loved the food and ambiance everyone at my table loved their entrees and the dining room was very sunny and bright.,5,5,5,5,Dined on September 26 2021
OpenTable Diner,New York City,4 reviews,Perfect restaurant in Little Italy,5,5,5,5,Dined on September 26 2021
JenF,New York City,9 reviews,The Maitre d was awesome 🇮🇹 the food was delicious 🇮🇹 service was excellent 🇮🇹,5,5,5,5,Dined on September 23 2021
OpenTable Diner,Caribbean,3 reviews,Going away lunch,5,5,5,5,Dined on September 21 2021
OpenTable Diner,New York City,2 reviews,Large portions amazing service and delicious food. Will be coming back soon!,5,5,5,5,Dined on September 18 2021
Luv2dine,New York City,18 reviews,Charged us 40% tip!!! If we hadn’t caught it we would have paid much more than we should have. It was disappointing. Felt like a scam.,1,3,2,5,Dined on September 18 2021
JeannineC,New York City,1 review,I have been going to this restaurant for well over 15 years and the food never disappoints!  I was talking to my waiter last night and he has been working there for about the same amount of time.  That tells you a lot they value their employees.  Anyhow the food drinks and ambiance is excellent!  I always enjoyed sitting in the atrium but now that there is outdoor seating I've been switching it up.  I highly recommend this Little Italy hotspot which has been there for a long time.  You will not be disappointed.  Can't wait to go again!,5,5,5,5,Dined on September 16 2021
Jormikdan,Baltimore,20 reviews,Staff was extremely friendly and service was great. We sat outside and it was lovely.,5,5,5,5,Dined on September 12 2021
shansand,New York City,3 reviews,I hosted my friends bridal brunch here. They took wonderful care of us. Service was excellent and the food was delicious.  Wonderful place.,5,5,5,5,Dined on September 11 2021
PromaD,Philadelphia,2 reviews,Unique items available on the menu.  Service is great,5,5,5,4,Dined on September 11 2021
ElanaJ,Indiana,24 reviews,"Il Cortile was mentioned in a few blogs and their menu offered several seafood dishes which was a win for me.  Everything was great including Fabricio our awesome server and the ambiance.  My husband's linguine cicale and my crab and lobster ravioli were perfect.  I admit the ricotta cheesecake was a little dry but tasty nonetheless.  The only criticism I would give is the hostess would not seat us in the lovely back patio because it was ""full"" yet proceeded to sit the next seven or eight tables in that section.  We sat in the main dining area next to the bar at a two-seater that felt like it was in the way of the servers.  Regardless overall the decor the food and the experience were worth it.",5,5,4,5,Dined on September 11 2021
OpenTable Diner,Chicago,6 reviews,It was for my boyfriend’s birthday and it was fantastic!,5,5,5,5,Dined on September 11 2021
OpenTable Diner,New York City,16 reviews,Food was delicious. We ordered zucchini fritters to start with. Our pasta entrees were great. I got the Linguine with Ams and my partner ordered the rigatoni alla vodka which was our absolute favorite of everything we ate that day. My favorite part of the restaurant was how beautiful their indoor dining area was considering it was filled with plants and they had a skylight ceiling allowing the sunlight to peak through.,5,5,5,5,Dined on September 6 2021
AnthonyG,New York City,48 reviews,Always a great place to eat service was very good food was as well,4,5,5,5,Dined on August 30 2021
JoanneL,New York City,2 reviews,Lovely afternoon to eat outdoors. Great food and wonderful service.,4,4,4,4,Dined on August 29 2021
AnnMarieV,New York City,85 reviews,So much has changed on Mulberry St..Il Cortile remains a gem! Delicious food..great service..,4,4,4,4,Dined on August 28 2021
BonnieM,San Francisco,12 reviews,Joseph our waiter was amazing. The food outstanding.,5,5,5,5,Dined on August 28 2021
OpenTable Diner,San Francisco,1 review,Great food wine and waiter,5,5,5,5,Dined on August 28 2021
OpenTable Diner,New York City,3 reviews,The ambiance was great and the food was excellent. The staff was very attentive and catered to our needs especially with a toddler. Definitely will come back and recommend to others.,4,5,5,5,Dined on August 22 2021
EmanuelaM,New York City,3 reviews,We came here for the restaurant week. The ambience was really nice the interior was very beautiful. The staff were very welcoming but unfortunately the food was not authentic Italian…don’t get me wrong food was good but not Italian at all.,4,3,4,5,Dined on August 20 2021
Mom3,Philadelphia,8 reviews,We always go here very satisfied always consistent.,5,5,5,4,Dined on August 15 2021
Ruben,Los Angeles,2 reviews,What an Amazing Authentic Restaurant  You Truly Set The BAR So High on Italian Dining!!   I've Never Had Italian food this AWESOME Before. WOW ❗   thank you so MUCH 🙏  whenever I'm Back in NY. Gotta stop AGAIN & AGAIN ❗😜💪💪😎,5,5,4,5,Dined on August 15 2021
MRome,New York City,18 reviews,OUTSTANDING!!! Service is excellent.,5,5,5,5,Dined on August 15 2021
AriannaT,New York City,2 reviews,Absolutely in love with this place!! Would definitely come back,5,5,5,4,Dined on August 14 2021
OpenTable Diner,Greater Boston,5 reviews,Good Italian food in NYC.,4,4,4,5,Dined on August 8 2021
OpenTable Diner,New York City,1 review,So delicious! The decorations are great too!,5,5,5,5,Dined on August 7 2021
OpenTable Diner,Corpus Christi,2 reviews,Great all in all beautiful place and delicious food. Small complaints: one of my two pieces of chicken was very tough and there were almost too many waiters - we got double the dessert we asked for but only 2 of the 3 sodas they didn’t communicate that well. But we still had a lovely and delicious meal,5,4,4,5,Dined on August 3 2021
alessandroc,Miami,2 reviews,Food was beyond amazing!!,5,5,5,5,Dined on August 1 2021
Gilreign,Greater Boston,47 reviews,Great experience in Little Italy.  Professional and welcoming staff.  Excellent and diverse menu to accommodate all the varied tastes of our party.,5,5,5,5,Dined on July 30 2021
OpenTable Diner,New York City,9 reviews,Excellent food service ad ambience,5,5,5,5,Dined on July 29 2021
NZ2247,New York City,99 reviews,Celebrated my daughter’s graduation from college with a large group of her friends. They had a terrific meal with great service. Thanks for being so accommodating to the large group!,5,5,5,5,Dined on July 25 2021
IGIY,Chicago,12 reviews,I do not recommend this place! We went as a party of 11 and the only good thing was the service was quick once we were actually able to place our order! The drinks were mediocre at best and the food was not good at all! Vegetarian choices are limited and they aren’t willing to make substitutions. My friends who ordered meat dishes also did not enjoy their meal. I usually also judge an Italian restaurant by the bread they serve - and this one was horrible! The bread was cold and stale and served with butter that came straight out of the fridge. Never again!,1,1,2,2,Dined on July 24 2021
ElizabethW,New York City,1 review,No one acknowledged us when we walked in. No one knew what was going on.,1,1,1,4,Dined on July 24 2021
HelenT,New York City,3 reviews,Food was good felt a little uncomfortable with the distance between tables and one of the waiters was not wearing his mask properly. Would go back when the virus is over.,4,5,5,5,Dined on July 23 2021
freqtrvlr,New York City,11 reviews,We had such an amazing experience last week we decided to see if it could be repeated.  Wow!  Between the staff quality of food and overall presentation it was amazing.  Branzino was amazingly fresh paired with an absolutely starchless risotto with amazing flavors and the pasta cicale had the most fresh seafood possible.  The enormous garlic fresh herbs and plump tomatoes exuded amazing aromas.  I will go back agin for 3 weeks in a row which may be a record.  Viva Italia!,5,5,5,5,Dined on July 19 2021
HungryinMontauk,New York City,13 reviews,Everything about our dinner at I’m Corte was exceptional.  The food was amazing.  The ambiance was lovely. When we arrived there were just a few parties there but even as the tables filled up there was very little noise. The service was respectful of the current health concerns helpful and  attentive. This was our first night eating in a restaurant since the pandemic began and we could not have made a better choice for our re-entry.,5,5,5,5,Dined on July 18 2021
MRome,New York City,18 reviews,This place is AMAZING!!!!Randomly picked it from an online search and was thrilled with our experience.  We had an amazing table situated in the middle of the restaurant with amazing ambiance which included beautiful decor and skylights.  The service was A++++++++. The wait staff was very attentive and friendly.  The food…. I can’t say enough about it.  It was probably the best meal I’ve ever had.  Everyone at our table had the same to say.  The sangria and the desserts were superb.  Definitely taking another drive into New York (from NJ) to visit this restaurant again.,5,5,5,5,Dined on July 18 2021
freqtrvlr,New York City,11 reviews,Amazing greeting upon arrival respectful of pandemic face coverings excellent recommendations and absolutely exceptional quality of food prepared with care and temperature.,5,5,5,5,Dined on July 11 2021
Anthony,Washington DC,6 reviews,Overall very good experience. They were able to seat our very large group early appetizers were at the table quickly. The food took a while to come out.,3,3,5,4,Dined on July 4 2021
JoaniG,New York City,135 reviews,Our food was absolutely delicious - couldn't have asked for a more flavorful dinner!,5,5,5,4,Dined on July 4 2021
LissetteA,New York City,3 reviews,Great food and even better service! Greatly appreciate how attentive the wait staff was.,5,5,5,5,Dined on July 3 2021
JDReilloc,San Diego,2 reviews,Excellent food and service. Highly Recommend. If you have never been to Little Italy in NY this is the spot.,5,5,5,5,Dined on June 21 2021
OpenTable Diner,New York City,15 reviews,Food always amazing!,5,5,4,4,Dined on June 20 2021
OpenTable Diner,Chicago,3 reviews,We were in NYC for business and this was a must eat! Everything wonderful! This was my wife’s 2nd time. She came with girlfriends in 2018 on a girls trip!,5,5,5,5,Dined on June 17 2021
OpenTable Diner,Miami,1 review,Amazing dinner,5,5,5,5,Dined on June 11 2021
OpenTable Diner,Atlanta Metro,10 reviews,In tourist area of Little Italy. Nice quaint restaurant. Good place for a date night.  Service was great. Fettuccine di Parma was so good!. I ate some of my wife's. My dish the Rigatoni speciale was good but not as good as the di parma. If you are a sangria fan make sure you get one. Bomb sangria there. Only knock is the calimari. Calimari had no added flavor to the squid and it wasn't very good. Overall good experience.,4,4,5,5,Dined on June 10 2021
Lefty,New York City,5 reviews,Highly recommend this restaurant. Having going there for 45 years,5,5,5,5,Dined on May 31 2021
Stone,Atlanta Metro,105 reviews,Fantastic! ANOTHER Great experience from Il Cortilie. Manual and Fabrizio were on their game and the Sunday Gravy is beyond compare. I was treated (as always) like Family and I'm Polish. Thank you to a great Team!,5,5,5,5,Dined on May 30 2021
OpenTable Diner,New York City,1 review,The service was amazing and the food was good. My only complaint was the steak was over cooked even though we ordered a med rare steak it was about well done. Other than that the ambiance with the service overall was great!,4,4,5,5,Dined on May 25 2021
OpenTable Diner,New York City,1 review,This place just hit different in terms of the quality of service and the food. Took my boyfriend here for his birthday and we had an absolutely amazing time. Will be returning :),5,5,5,5,Dined on May 23 2021
Nezzy,Tampa,5 reviews,Food was delicious and service exceptional!,5,5,5,5,Dined on May 16 2021
Colleen,New York City,22 reviews,Perfect place to spend Mother's Day. Thank you to your wonderful staff!,5,5,5,5,Dined on May 10 2021
Gigi,New York City,1 review,Will definitely be returning! The food was great and the restaurant was so accommodating as we ran into some New York traffic. We had great waiters and did not feel rushed at all. Made for a memorable Mother’s Day!,5,5,5,5,Dined on May 9 2021
OpenTable Diner,New York City,1 review,everyone was so welcoming and nice. we felt very comfortable,5,5,5,5,Dined on May 2 2021
NatalieM,Denver,8 reviews,Great service amazing food and ambience feels like you're in a garden of Italy.,5,5,5,5,Dined on May 1 2021
FredB,San Antonio,42 reviews,Great food priced reasonably. Nice atmosphere and very attentive service. Highly recommended.,5,5,5,5,Dined on April 30 2021
OpenTable Diner,Washington DC,4 reviews,Always a great meal with even better service. Definitely one of my favorite places to eat in NYC!,5,5,5,5,Dined on April 24 2021
Diane21,New York City,18 reviews,Always amazing great food great service,5,5,5,5,Dined on April 17 2021
OpenTable Diner,New York City,4 reviews,The place is really different from the pictures posted. It doesn’t look the same place! It was a huge disappointment.,1,2,3,1,Dined on April 16 2021
Tadtober,Orange County,16 reviews,A little Italy Classic!! Great meal fantastic wine and amazing service.,5,5,5,5,Dined on April 11 2021
AnthonyG,New York City,2 reviews,Best restaurant in Little Italy! My Wife and I come every year in April where I proposed to her - the food is always out of this world,5,5,5,5,Dined on April 7 2021
LenaJ,New York City,1 review,Amazing service and beautiful outdoor! Also very clean - thank you,5,5,5,5,Dined on March 27 2021
